Year,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom
1972,22059612477.0,37209418019.0,23232379952.0,14743186120.0,203494000000.0,299802000000.0,16885511364.0,839652164.1,6318060582.0,145260000000.0,1901697370.0,54706557264.0,17358610850.0,11239117865.0,59132415221.0,48954145809.0,36844318854.0,169965000000.0
1973,29515467707.0,47743801490.0,30730626663.0,19472363467.0,264430000000.0,398374000000.0,22347848101.0,1154440253.0,7481173066.0,175492000000.0,2609875802.0,71840909664.0,22534253703.0,15090564186.0,78639525985.0,59404966684.0,49550006320.0,192538000000.0
1974,35189299912.0,56033077879.0,34160444798.0,24848821490.0,285554000000.0,445303000000.0,25351306818.0,1515190595.0,7896860615.0,199564000000.0,3183637117.0,87243413395.0,27145693810.0,17512391476.0,97274006346.0,66013338965.0,57103011446.0,206131000000.0
1975,40059206763.0,65678189097.0,40474406216.0,29472623242.0,360832000000.0,490637000000.0,28525876727.0,1406875081.0,9483808362.0,227696000000.0,3123333333.0,100250000000.0,32877805200.0,19347607843.0,114777000000.0,82885397621.0,65466081819.0,241757000000.0
1976,42959976222.0,71113882968.0,44575892473.0,31849513771.0,372319000000.0,519754000000.0,31152835821.0,1669488390.0,9453756015.0,224717000000.0,3423586207.0,109169000000.0,35942270686.0,20332831565.0,118507000000.0,89362071673.0,68476524644.0,232615000000.0
1977,51545758888.0,82839905459.0,49784338519.0,33499799321.0,410279000000.0,600498000000.0,36176234968.0,2208509076.0,11248340431.0,257596000000.0,3789321328.0,127017000000.0,41508030431.0,21439523311.0,132449000000.0,94468740851.0,73135771167.0,263066000000.0
1978,62052259073.0,101247000000.0,60362931854.0,36256160289.0,506709000000.0,740470000000.0,44270204082.0,2511826196.0,14647996074.0,315058000000.0,4718539772.0,155860000000.0,46522900254.0,23487614051.0,160600000000.0,104442000000.0,102280000000.0,335883000000.0
1979,73937296963.0,116315000000.0,70366241969.0,44465255686.0,613953000000.0,881345000000.0,54481876725.0,2853435054.0,18319334300.0,393677000000.0,5516982664.0,179669000000.0,53132244624.0,26622819672.0,214602000000.0,123386000000.0,114970000000.0,438994000000.0
1980,82058912997.0,126829000000.0,71127528700.0,53645202423.0,701288000000.0,950291000000.0,56829664269.0,3381419251.0,21747855640.0,477257000000.0,6019805490.0,195152000000.0,64439382896.0,32896519824.0,232767000000.0,142092000000.0,122558000000.0,564948000000.0
1981,71034228443.0,104730000000.0,61877813965.0,52448332874.0,615552000000.0,800472000000.0,52346506765.0,3492997010.0,20670190138.0,430703000000.0,5053665797.0,164134000000.0,63596654761.0,31977276873.0,202808000000.0,129687000000.0,112245000000.0,540766000000.0
1982,71275287570.0,92095926188.0,60412844679.0,52797582336.0,584878000000.0,776576000000.0,54617989796.0,3206626645.0,21474752962.0,427273000000.0,4602316793.0,158480000000.0,62647195538.0,30527754793.0,195997000000.0,114381000000.0,115043000000.0,515049000000.0
1983,72121016547.0,87184239053.0,60644782176.0,50973526900.0,559869000000.0,770684000000.0,49428873839.0,2765950336.0,20766047764.0,443042000000.0,4524217751.0,153445000000.0,61627240831.0,27239650742.0,170951000000.0,105014000000.0,114634000000.0,489618000000.0
1984,67985344887.0,83349530159.0,59105236854.0,52888800950.0,530684000000.0,725111000000.0,48020024184.0,2864441387.0,20106648455.0,437888000000.0,4438435493.0,143913000000.0,62057955033.0,25217969050.0,172103000000.0,109201000000.0,109455000000.0,461487000000.0
1985,69386774408.0,86268264148.0,62658568287.0,55875863392.0,553138000000.0,732535000000.0,47820851221.0,2984052357.0,21270013326.0,452217000000.0,4577211767.0,143846000000.0,65416879914.0,27115807742.0,180793000000.0,114124000000.0,110980000000.0,489285000000.0
1986,99036164939.0,120019000000.0,88078760104.0,73531550551.0,771471000000.0,1046260000000.0,56379593476.0,3989622739.0,28714571852.0,640386000000.0,6685595088.0,200862000000.0,78693118044.0,38745901354.0,251321000000.0,150498000000.0,159090000000.0,601453000000.0
1987,124168000000.0,149394000000.0,109414000000.0,91594751792.0,934173000000.0,1298180000000.0,65652750377.0,5520318405.0,33920518493.0,805713000000.0,8320902215.0,245046000000.0,94229907236.0,48182925857.0,318748000000.0,183010000000.0,199236000000.0,745163000000.0
1988,133339000000.0,162299000000.0,115553000000.0,109059000000.0,1018850000000.0,1401230000000.0,76261277925.0,6106635816.0,37772896221.0,891609000000.0,9418167855.0,261911000000.0,101900000000.0,56347250696.0,376160000000.0,206987000000.0,215541000000.0,910123000000.0
1989,133106000000.0,164221000000.0,112409000000.0,119012000000.0,1025210000000.0,1398970000000.0,79169043223.0,5672569449.0,39238392678.0,928661000000.0,10037674038.0,258337000000.0,102634000000.0,60594092182.0,414757000000.0,217948000000.0,208106000000.0,926885000000.0
1990,166463000000.0,205332000000.0,138247000000.0,141438000000.0,1269180000000.0,1771670000000.0,97891092003.0,6468736356.0,49305632408.0,1181220000000.0,12778792854.0,318331000000.0,119792000000.0,78713860217.0,536559000000.0,261846000000.0,265764000000.0,1093170000000.0
1991,173794000000.0,210511000000.0,139225000000.0,127774000000.0,1269280000000.0,1868950000000.0,105143000000.0,6909730288.0,49787501584.0,1246220000000.0,13834219728.0,327500000000.0,121872000000.0,89233599278.0,577166000000.0,274229000000.0,268902000000.0,1142800000000.0
1992,195078000000.0,234782000000.0,152916000000.0,112533000000.0,1401470000000.0,2131570000000.0,116225000000.0,7080981738.0,55918538121.0,1320160000000.0,15518702635.0,362963000000.0,130838000000.0,107592000000.0,630916000000.0,284321000000.0,279921000000.0,1179660000000.0
1993,190380000000.0,224722000000.0,143196000000.0,89214114708.0,1322820000000.0,2071320000000.0,108809000000.0,6218581532.0,52417477614.0,1064960000000.0,15925521222.0,353550000000.0,120579000000.0,95009751901.0,525076000000.0,212953000000.0,272238000000.0,1061390000000.0
1994,203535000000.0,244884000000.0,156162000000.0,103300000000.0,1393980000000.0,2205070000000.0,116602000000.0,6389460343.0,57097656066.0,1099220000000.0,17701798891.0,379130000000.0,127131000000.0,99688641304.0,530563000000.0,229034000000.0,301375000000.0,1140490000000.0
1995,241038000000.0,288026000000.0,185007000000.0,134190000000.0,1601090000000.0,2585790000000.0,136878000000.0,7123633418.0,69139823232.0,1174660000000.0,20853093870.0,452302000000.0,152030000000.0,118122000000.0,614609000000.0,267306000000.0,352836000000.0,1344240000000.0
1996,237251000000.0,279201000000.0,187632000000.0,132129000000.0,1605680000000.0,2497240000000.0,145862000000.0,7426082271.0,75790786290.0,1312430000000.0,20895314658.0,450490000000.0,163520000000.0,122630000000.0,642589000000.0,291744000000.0,340104000000.0,1419650000000.0
1997,212790000000.0,252708000000.0,173538000000.0,126912000000.0,1452880000000.0,2211990000000.0,143158000000.0,7569672925.0,82856648758.0,1241880000000.0,19563836265.0,416813000000.0,161357000000.0,117017000000.0,590077000000.0,268146000000.0,294788000000.0,1560910000000.0
1998,218260000000.0,258528000000.0,176992000000.0,134039000000.0,1503110000000.0,2238990000000.0,144428000000.0,8503693099.0,90199410116.0,1270050000000.0,20150053345.0,438008000000.0,154230000000.0,123946000000.0,619215000000.0,270809000000.0,303459000000.0,1653690000000.0
1999,217259000000.0,258246000000.0,177965000000.0,135264000000.0,1493150000000.0,2194950000000.0,142589000000.0,8982047589.0,98893958263.0,1252450000000.0,21899317599.0,447050000000.0,162384000000.0,127470000000.0,634908000000.0,274072000000.0,297874000000.0,1687830000000.0
2000,197290000000.0,236792000000.0,164159000000.0,126020000000.0,1365640000000.0,1947980000000.0,130458000000.0,9025660362.0,100208000000.0,1146680000000.0,21230182989.0,417479000000.0,171457000000.0,118605000000.0,598363000000.0,262835000000.0,279216000000.0,1665530000000.0
2001,197509000000.0,236746000000.0,164791000000.0,129533000000.0,1377660000000.0,1945790000000.0,136309000000.0,8234846805.0,109347000000.0,1168020000000.0,21387533703.0,431587000000.0,174239000000.0,121604000000.0,627830000000.0,242396000000.0,286583000000.0,1649830000000.0
2002,214395000000.0,258384000000.0,178635000000.0,140404000000.0,1501410000000.0,2078480000000.0,154564000000.0,9318395055.0,128596000000.0,1276770000000.0,23649833332.0,473862000000.0,195915000000.0,134796000000.0,708757000000.0,266849000000.0,309301000000.0,1785730000000.0
2003,262274000000.0,318083000000.0,218096000000.0,171652000000.0,1844540000000.0,2501640000000.0,202370000000.0,11429333038.0,164671000000.0,1577620000000.0,29667268248.0,580070000000.0,229385000000.0,165226000000.0,907492000000.0,334337000000.0,362075000000.0,2054420000000.0
2004,301458000000.0,369215000000.0,251373000000.0,197479000000.0,2119630000000.0,2814350000000.0,240964000000.0,13825302536.0,194372000000.0,1806540000000.0,35064843793.0,658380000000.0,265269000000.0,189382000000.0,1069060000000.0,385118000000.0,403913000000.0,2421530000000.0
2005,316092000000.0,385715000000.0,264467000000.0,204885000000.0,2196950000000.0,2846860000000.0,247875000000.0,16852963067.0,211877000000.0,1858220000000.0,37672280120.0,685348000000.0,309979000000.0,197254000000.0,1153720000000.0,392218000000.0,418285000000.0,2543180000000.0
2006,336280000000.0,408260000000.0,282885000000.0,217089000000.0,2320540000000.0,2994700000000.0,273547000000.0,17465318552.0,232181000000.0,1949550000000.0,42910146296.0,733955000000.0,346915000000.0,208756000000.0,1260400000000.0,423093000000.0,441635000000.0,2708440000000.0
2007,389186000000.0,470922000000.0,319423000000.0,256378000000.0,2660590000000.0,3425580000000.0,318903000000.0,21652505597.0,270079000000.0,2213100000000.0,51587401416.0,848559000000.0,402643000000.0,240496000000.0,1474000000000.0,491253000000.0,490741000000.0,3090510000000.0
2008,432052000000.0,517328000000.0,353361000000.0,285716000000.0,2930300000000.0,3745260000000.0,355909000000.0,18074622987.0,275447000000.0,2408660000000.0,58844277702.0,951870000000.0,464918000000.0,263416000000.0,1631860000000.0,517706000000.0,567268000000.0,2929410000000.0
2009,401759000000.0,483254000000.0,321241000000.0,253498000000.0,2700890000000.0,3411260000000.0,331309000000.0,13154414219.0,236443000000.0,2199930000000.0,54467289898.0,871519000000.0,387976000000.0,244668000000.0,1491470000000.0,436537000000.0,554213000000.0,2412840000000.0
2010,392275000000.0,481421000000.0,321995000000.0,249424000000.0,2645190000000.0,3399670000000.0,297125000000.0,13751161918.0,221914000000.0,2136100000000.0,56213985987.0,847381000000.0,431052000000.0,238113000000.0,1422110000000.0,495813000000.0,598851000000.0,2485480000000.0
2011,431685000000.0,523330000000.0,344003000000.0,275604000000.0,2865160000000.0,3749310000000.0,282996000000.0,15221622926.0,239171000000.0,2294990000000.0,61696281326.0,905271000000.0,501361000000.0,245118000000.0,1480710000000.0,574094000000.0,715888000000.0,2663810000000.0
2012,409402000000.0,496153000000.0,327149000000.0,258290000000.0,2683670000000.0,3527140000000.0,242029000000.0,14751508134.0,225119000000.0,2086960000000.0,59776383527.0,838923000000.0,512777000000.0,216224000000.0,1324750000000.0,552484000000.0,686420000000.0,2707090000000.0
2013,430191000000.0,521791000000.0,343584000000.0,271362000000.0,2811880000000.0,3733800000000.0,238908000000.0,16125060515.0,238112000000.0,2141920000000.0,65203276467.0,877173000000.0,526014000000.0,226434000000.0,1355580000000.0,586842000000.0,706235000000.0,2784850000000.0
2014,442585000000.0,535390000000.0,352994000000.0,274863000000.0,2855960000000.0,3889090000000.0,235458000000.0,17867662178.0,259682000000.0,2162010000000.0,68804811898.0,892168000000.0,501736000000.0,229902000000.0,1371820000000.0,581964000000.0,726538000000.0,3064710000000.0
2015,381971000000.0,462336000000.0,302673000000.0,234534000000.0,2439190000000.0,3357590000000.0,195684000000.0,17517210519.0,292364000000.0,1836640000000.0,60071584216.0,765573000000.0,388160000000.0,199394000000.0,1196160000000.0,505104000000.0,694118000000.0,2927910000000.0
2016,395837000000.0,476063000000.0,313116000000.0,240771000000.0,2472960000000.0,3469850000000.0,193148000000.0,20793168031.0,298559000000.0,1877070000000.0,62216885436.0,784060000000.0,370957000000.0,206426000000.0,1233550000000.0,515655000000.0,687895000000.0,2689110000000.0
2017,417261000000.0,502765000000.0,332121000000.0,255648000000.0,2595150000000.0,3690850000000.0,199844000000.0,24728285177.0,337242000000.0,1961800000000.0,65712180343.0,833870000000.0,401745000000.0,221358000000.0,1313250000000.0,541019000000.0,695201000000.0,2680150000000.0
2018,454991000000.0,543299000000.0,356841000000.0,275708000000.0,2790960000000.0,3974440000000.0,212049000000.0,26260850582.0,386693000000.0,2091930000000.0,71000359760.0,914043000000.0,439789000000.0,242313000000.0,1421700000000.0,555455000000.0,725569000000.0,2871340000000.0
2019,444596000000.0,535866000000.0,346499000000.0,268515000000.0,2728870000000.0,3889180000000.0,205253000000.0,24681343649.0,398933000000.0,2011300000000.0,69890505324.0,910194000000.0,408743000000.0,239987000000.0,1394320000000.0,533880000000.0,721369000000.0,2851410000000.0
2020,435049000000.0,526022000000.0,354763000000.0,271886000000.0,2647420000000.0,3887730000000.0,188480000000.0,21629953194.0,428609000000.0,1897460000000.0,73699366700.0,909793000000.0,367633000000.0,229032000000.0,1278130000000.0,547054000000.0,741999000000.0,2697810000000.0
2021,479295000000.0,600904000000.0,405688000000.0,296470000000.0,2959360000000.0,4278500000000.0,214668000000.0,25797870984.0,513392000000.0,2154880000000.0,85584105994.0,1029680000000.0,503368000000.0,255535000000.0,1445650000000.0,639715000000.0,813409000000.0,3141510000000.0
2022,470942000000.0,583614000000.0,400167000000.0,281887000000.0,2779090000000.0,4082470000000.0,217581000000.0,28701830402.0,533140000000.0,2066970000000.0,81641807866.0,1009400000000.0,593727000000.0,255197000000.0,1417800000000.0,590410000000.0,818427000000.0,3088840000000.0
2023,516034000000.0,632217000000.0,404199000000.0,300187000000.0,3030900000000.0,4456080000000.0,238206000000.0,31020032583.0,545629000000.0,2254850000000.0,85755006124.0,1118120000000.0,485513000000.0,287080000000.0,1580690000000.0,593268000000.0,884940000000.0,3340030000000.0
